date,warehouse_id,shift_id,workers,labor_hours,shipments,units_procced,Productivity,capacity,utilization_perct,backlog,errors,errors_percet,on_time_ships_percet,late_shipments,on_time_ships,year,month,month_nm,day_of_week,is_weekend,utilization_band,is_peak,backlog_rate_pct,high_pressure
2025-01-01,WH01,S1,25,200,11752,23504,7.345,17850,65.84,0,99,0.84,96.39,424,11328,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH01,S2,24,192,10112,10112,6.583333333333333,16320,61.96,0,74,0.73,94.3,577,9535,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH01,S3,19,152,7488,14976,6.157894736842105,10982,68.18,0,69,0.92,94.96,377,7111,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH02,S1,30,240,14048,28096,7.316666666666666,22680,61.94,0,107,0.76,97.15,400,13648,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH02,S2,28,224,10936,10936,6.102678571428571,20160,54.25,0,103,0.94,95.79,460,10476,2025,1,January,Wednesday,False,Low,False,0.0,False
2025-01-01,WH02,S3,22,176,9968,9968,7.079545454545454,13464,74.03,0,86,0.86,95.93,406,9562,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH03,S1,20,160,9576,9576,7.48125,12600,76.0,0,75,0.78,96.38,347,9229,2025,1,January,Wednesday,False,High,False,0.0,False
2025-01-01,WH03,S2,19,152,8288,8288,6.815789473684211,11400,72.7,0,38,0.46,95.62,363,7925,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH03,S3,15,120,5872,5872,6.116666666666666,7650,76.76,0,36,0.61,96.13,227,5645,2025,1,January,Wednesday,False,High,False,0.0,False
2025-01-01,WH04,S1,23,184,9936,19872,6.75,15842,62.72,0,69,0.69,96.56,342,9594,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH04,S2,22,176,8824,8824,6.267045454545454,14432,61.14,0,78,0.88,96.69,292,8532,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH04,S3,17,136,6288,6288,5.779411764705882,9479,66.34,0,48,0.76,97.13,181,6107,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH05,S1,18,144,7448,7448,6.465277777777778,10584,70.37,0,77,1.03,95.29,351,7097,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH05,S2,17,136,6864,6864,6.3088235294117645,9520,72.1,0,65,0.95,94.54,375,6489,2025,1,January,Wednesday,False,Normal,False,0.0,False
2025-01-01,WH05,S3,14,112,5312,15936,5.928571428571429,6664,79.71,0,38,0.72,95.78,224,5088,2025,1,January,Wednesday,False,High,False,0.0,False
2025-01-02,WH01,S1,25,200,10864,10864,6.79,17850,60.86,0,78,0.72,95.69,468,10396,2025,1,January,Thursday,False,Normal,False,0.0,False
2025-01-02,WH01,S2,24,192,10512,21024,6.84375,16320,64.41,0,88,0.84,95.81,441,10071,2025,1,January,Thursday,False,Normal,False,0.0,False
2025-01-02,WH01,S3,19,152,7928,7928,6.519736842105263,10982,72.19,0,55,0.69,96.38,287,7641,2025,1,January,Thursday,False,Normal,False,0.0,False
2025-01-02,WH02,S1,30,240,13296,26592,6.925,22680,58.62,0,127,0.96,95.9,546,12750,2025,1,January,Thursday,False,Low,False,0.0,False
2025-01-02,WH02,S2,28,224,11664,23328,6.508928571428571,20160,57.86,0,76,0.65,96.01,466,11198,2025,1,January,Thursday,False,Low,False,0.0,False
2025-01-02,WH02,S3,22,176,8824,8824,6.267045454545454,13464,65.54,0,70,0.79,95.79,371,8453,2025,1,January,Thursday,False,Normal,False,0.0,False
2025-01-02,WH03,S1,20,160,10560,21120,8.25,12600,83.81,0,97,0.92,96.37,383,10177,2025,1,January,Thursday,False,High,False,0.0,False
2025-01-02,WH03,S2,19,152,8552,17104,7.032894736842105,11400,75.02,0,73,0.85,97.34,228,8324,2025,1,January,Thursday,False,High,False,0.0,False
2025-01-02,WH03,S3,15,120,6760,6760,7.041666666666667,7650,88.37,0,59,0.87,96.92,208,6552,2025,1,January,Thursday,False,Very High,True,0.0,False
2025-01-02,WH04,S1,23,184,10120,20240,6.875,15842,63.88,0,107,1.06,97.8,223,9897,2025,1,January,Thursday,False,Normal,False,0.0,False
2025-01-02,WH04,S2,22,176,9000,9000,6.392045454545454,14432,62.36,0,87,0.97,96.18,344,8656,2025,1,January,Thursday,False,Normal,False,0.0,False
2025-01-02,WH04,S3,17,136,5736,11472,5.272058823529412,9479,60.51,0,44,0.77,95.86,238,5498,2025,1,January,Thursday,False,Normal,False,0.0,False
2025-01-02,WH05,S1,18,144,8312,8312,7.215277777777778,10584,78.53,0,54,0.65,93.67,526,7786,2025,1,January,Thursday,False,High,False,0.0,False
2025-01-02,WH05,S2,17,136,7280,7280,6.691176470588236,9520,76.47,0,65,0.89,95.85,302,6978,2025,1,January,Thursday,False,High,False,0.0,False
2025-01-02,WH05,S3,14,112,5088,15264,5.678571428571429,6664,76.35,0,33,0.65,94.23,293,4795,2025,1,January,Thursday,False,High,False,0.0,False
2025-01-03,WH01,S1,25,200,15416,15416,9.635,17850,86.36,0,156,1.01,95.85,640,14776,2025,1,January,Friday,False,Very High,True,0.0,False
2025-01-03,WH01,S2,24,192,10432,10432,6.791666666666667,16320,63.92,0,92,0.88,97.62,248,10184,2025,1,January,Friday,False,Normal,False,0.0,False
2025-01-03,WH01,S3,19,152,7160,7160,5.8881578947368425,10982,65.2,0,41,0.57,95.94,291,6869,2025,1,January,Friday,False,Normal,False,0.0,False
2025-01-03,WH02,S1,30,240,13064,39192,6.804166666666666,22680,57.6,0,110,0.84,96.24,491,12573,2025,1,January,Friday,False,Low,False,0.0,False
2025-01-03,WH02,S2,28,224,16744,16744,9.34375,20160,83.06,0,130,0.78,93.86,1029,15715,2025,1,January,Friday,False,High,False,0.0,False
2025-01-03,WH02,S3,22,176,9600,19200,6.818181818181818,13464,71.3,0,64,0.67,97.18,270,9330,2025,1,January,Friday,False,Normal,False,0.0,False
2025-01-03,WH03,S1,20,160,10880,21760,8.5,12600,86.35,0,126,1.16,98.77,134,10746,2025,1,January,Friday,False,Very High,True,0.0,False
2025-01-03,WH03,S2,19,152,8400,16800,6.907894736842105,11400,73.68,0,61,0.73,95.75,357,8043,2025,1,January,Friday,False,Normal,False,0.0,False
2025-01-03,WH03,S3,15,120,6568,13136,6.841666666666667,7650,85.86,0,81,1.23,96.08,258,6310,2025,1,January,Friday,False,Very High,True,0.0,False
2025-01-03,WH04,S1,23,184,11848,11848,8.048913043478262,15842,74.79,0,74,0.62,96.08,464,11384,2025,1,January,Friday,False,Normal,False,0.0,False
2025-01-03,WH04,S2,22,176,10152,10152,7.210227272727272,14432,70.34,0,100,0.99,95.9,416,9736,2025,1,January,Friday,False,Normal,False,0.0,False
2025-01-03,WH04,S3,17,136,6768,13536,6.220588235294118,9479,71.4,0,46,0.68,96.48,238,6530,2025,1,January,Friday,False,Normal,False,0.0,False
2025-01-03,WH05,S1,18,144,9648,9648,8.375,10584,91.16,0,86,0.89,94.62,519,9129,2025,1,January,Friday,False,Very High,True,0.0,False
2025-01-03,WH05,S2,17,136,8616,8616,7.919117647058823,9520,90.5,0,97,1.13,96.62,291,8325,2025,1,January,Friday,False,Very High,True,0.0,False
2025-01-03,WH05,S3,14,112,4352,4352,4.857142857142857,6664,65.31,0,36,0.83,95.75,185,4167,2025,1,January,Friday,False,Normal,False,0.0,False
2025-01-04,WH01,S1,25,200,7216,7216,4.51,17850,40.43,0,59,0.82,96.69,239,6977,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH01,S2,24,192,5384,5384,3.505208333333333,16320,32.99,0,44,0.82,93.03,375,5009,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH01,S3,19,152,3976,3976,3.2697368421052637,10982,36.2,0,32,0.8,95.5,179,3797,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH02,S1,30,240,9808,9808,5.108333333333333,22680,43.25,0,94,0.96,95.89,403,9405,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH02,S2,28,224,9248,18496,5.160714285714286,20160,45.87,0,76,0.82,95.61,406,8842,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH02,S3,22,176,5640,5640,4.005681818181818,13464,41.89,0,48,0.85,94.97,284,5356,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH03,S1,20,160,6016,12032,4.7,12600,47.75,0,50,0.83,94.86,310,5706,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH03,S2,19,152,4528,4528,3.723684210526316,11400,39.72,0,28,0.62,95.93,185,4343,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH03,S3,15,120,4024,4024,4.191666666666666,7650,52.6,0,30,0.75,94.26,231,3793,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH04,S1,23,184,7400,7400,5.027173913043479,15842,46.71,0,65,0.88,96.09,290,7110,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH04,S2,22,176,5576,11152,3.960227272727273,14432,38.64,0,48,0.86,95.4,256,5320,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH04,S3,17,136,4376,13128,4.022058823529412,9479,46.17,0,36,0.82,96.11,170,4206,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH05,S1,18,144,5000,10000,4.340277777777778,10584,47.24,0,41,0.82,96.06,197,4803,2025,1,January,Saturday,False,Low,False,0.0,False
2025-01-04,WH05,S2,17,136,5184,10368,4.764705882352941,9520,54.45,0,42,0.81,95.11,253,4931,2025,1,January,Saturday,False,Low,False,0.0,False
