month_number,month_nm,total_shipments,avg_util,total_backlog,avg_error_rate,avg_on_time_deliv
1,January,3809576.0,63.19,0.0,0.82,96.03
2,February,3186288.0,58.6,0.0,0.8,96.01
3,March,3916384.0,65.04,1458.0,0.84,95.97
4,April,4088840.0,70.12,4891.0,0.87,95.91
5,May,4420784.0,73.36,16500.0,0.89,95.77
6,June,4250160.0,73.15,18232.0,0.89,95.72
7,July,4019880.0,66.76,2446.0,0.85,95.91
8,August,3718560.0,61.76,0.0,0.83,96.02
9,September,4292728.0,73.63,19787.0,0.89,95.69
10,October,4712112.0,78.11,38957.0,0.93,95.41
11,November,5253384.0,90.46,286274.0,0.99,93.45
12,December,6711368.0,111.4,1018196.0,1.04,90.85
