date,warehouse_id,shift_id,month,weekday,base_volume,monthly_multiplier,weekday_multiplier,shift_share,expected_volume,volume,shipments,base_workers,shift_worker_multiplier,workers,labor_hours,Productivity,base_productivity,shift_productivity_multiplier,expected_productivity,capacity,productivity,utilization,utilization_perct,backlog,units_procced,utilization_factor,error_rate,errors,errors_percet,backlog_factor,on_time_rate,on_time_ships,late_shipments,on_time_ships_percet
2025-01-01,WH01,S1,1,2,4200,0.85,1.0,0.4,1428,1469,11752,25,1.0,25,200,7.345,85,1.05,89.25,17850,58.76,0.658375350140056,65.84,0,23504,1.0,0.008405950217089475,99,0.84,1.0,0.9639487064367912,11328,424,96.39
2025-01-01,WH01,S2,1,2,4200,0.85,1.0,0.35,1250,1264,10112,25,0.95,24,192,6.583333333333333,85,1.0,85.0,16320,52.67,0.6196078431372549,61.96,0,10112,1.0,0.007361206502498717,74,0.73,1.0,0.9429647614756035,9535,577,94.3
2025-01-01,WH01,S3,1,2,4200,0.85,1.0,0.25,892,936,7488,25,0.75,19,152,6.157894736842105,85,0.85,72.25,10982,49.26,0.6818430158441086,68.18,0,14976,1.0,0.009198515572039195,69,0.92,1.0,0.9496319697995754,7111,377,94.96
2025-01-01,WH02,S1,1,2,5000,0.85,1.0,0.4,1700,1756,14048,30,1.0,30,240,7.316666666666666,90,1.05,94.5,22680,58.53,0.6194003527336861,61.94,0,28096,1.0,0.007633052581402233,107,0.76,1.0,0.9715238543921855,13648,400,97.15
2025-01-01,WH02,S2,1,2,5000,0.85,1.0,0.35,1488,1367,10936,30,0.95,28,224,6.102678571428571,90,1.0,90.0,20160,48.82,0.5424603174603174,54.25,0,10936,1.0,0.009456118136909919,103,0.94,1.0,0.9578921331907366,10476,460,95.79
2025-01-01,WH02,S3,1,2,5000,0.85,1.0,0.25,1062,1246,9968,30,0.75,22,176,7.079545454545454,90,0.85,76.5,13464,56.64,0.7403446226975638,74.03,0,9968,1.0,0.008648061875075719,86,0.86,1.0,0.9592695435704541,9562,406,95.93
2025-01-01,WH03,S1,1,2,3500,0.85,1.0,0.4,1190,1197,9576,20,1.0,20,160,7.48125,75,1.05,78.75,12600,59.85,0.76,76.0,0,9576,1.0,0.007791674885599213,75,0.78,1.0,0.963814275903825,9229,347,96.38
2025-01-01,WH03,S2,1,2,3500,0.85,1.0,0.35,1041,1036,8288,20,0.95,19,152,6.815789473684211,75,1.0,75.0,11400,54.53,0.7270175438596491,72.7,0,8288,1.0,0.0045452511338774995,38,0.46,1.0,0.9561593625936842,7925,363,95.62
2025-01-01,WH03,S3,1,2,3500,0.85,1.0,0.25,744,734,5872,20,0.75,15,120,6.116666666666666,75,0.85,63.75,7650,48.93,0.7675816993464052,76.76,0,5872,1.0,0.006144027334854727,36,0.61,1.0,0.9613477912923811,5645,227,96.13
2025-01-01,WH04,S1,1,2,3800,0.85,1.0,0.4,1292,1242,9936,23,1.0,23,184,6.75,82,1.05,86.10000000000001,15842,54.0,0.6271935361696755,62.72,0,19872,1.0,0.006991966531893442,69,0.69,1.0,0.9655784392974976,9594,342,96.56
