date,warehouse_id,shift_id
2025-01-01,WH01,S1
2025-01-01,WH01,S2
2025-01-01,WH01,S3
2025-01-01,WH02,S1
2025-01-01,WH02,S2
2025-01-01,WH02,S3
2025-01-01,WH03,S1
2025-01-01,WH03,S2
2025-01-01,WH03,S3
2025-01-01,WH04,S1
2025-01-01,WH04,S2
2025-01-01,WH04,S3
2025-01-01,WH05,S1
2025-01-01,WH05,S2
2025-01-01,WH05,S3
2025-01-02,WH01,S1
2025-01-02,WH01,S2
2025-01-02,WH01,S3
2025-01-02,WH02,S1
2025-01-02,WH02,S2
2025-01-02,WH02,S3
2025-01-02,WH03,S1
2025-01-02,WH03,S2
2025-01-02,WH03,S3
2025-01-02,WH04,S1
2025-01-02,WH04,S2
2025-01-02,WH04,S3
2025-01-02,WH05,S1
2025-01-02,WH05,S2
2025-01-02,WH05,S3
2025-01-03,WH01,S1
2025-01-03,WH01,S2
2025-01-03,WH01,S3
2025-01-03,WH02,S1
2025-01-03,WH02,S2
2025-01-03,WH02,S3
2025-01-03,WH03,S1
2025-01-03,WH03,S2
2025-01-03,WH03,S3
2025-01-03,WH04,S1
2025-01-03,WH04,S2
2025-01-03,WH04,S3
2025-01-03,WH05,S1
2025-01-03,WH05,S2
2025-01-03,WH05,S3
2025-01-04,WH01,S1
2025-01-04,WH01,S2
2025-01-04,WH01,S3
2025-01-04,WH02,S1
2025-01-04,WH02,S2
2025-01-04,WH02,S3
2025-01-04,WH03,S1
2025-01-04,WH03,S2
2025-01-04,WH03,S3
2025-01-04,WH04,S1
2025-01-04,WH04,S2
2025-01-04,WH04,S3
2025-01-04,WH05,S1
2025-01-04,WH05,S2
2025-01-04,WH05,S3
2025-01-05,WH01,S1
2025-01-05,WH01,S2
2025-01-05,WH01,S3
2025-01-05,WH02,S1
2025-01-05,WH02,S2
2025-01-05,WH02,S3
2025-01-05,WH03,S1
2025-01-05,WH03,S2
2025-01-05,WH03,S3
2025-01-05,WH04,S1
2025-01-05,WH04,S2
2025-01-05,WH04,S3
2025-01-05,WH05,S1
2025-01-05,WH05,S2
2025-01-05,WH05,S3
2025-01-06,WH01,S1
2025-01-06,WH01,S2
2025-01-06,WH01,S3
2025-01-06,WH02,S1
2025-01-06,WH02,S2
2025-01-06,WH02,S3
2025-01-06,WH03,S1
2025-01-06,WH03,S2
2025-01-06,WH03,S3
2025-01-06,WH04,S1
2025-01-06,WH04,S2
2025-01-06,WH04,S3
2025-01-06,WH05,S1
2025-01-06,WH05,S2
2025-01-06,WH05,S3
2025-01-07,WH01,S1
2025-01-07,WH01,S2
2025-01-07,WH01,S3
2025-01-07,WH02,S1
2025-01-07,WH02,S2
2025-01-07,WH02,S3
2025-01-07,WH03,S1
2025-01-07,WH03,S2
2025-01-07,WH03,S3
2025-01-07,WH04,S1
2025-01-07,WH04,S2
2025-01-07,WH04,S3
2025-01-07,WH05,S1
2025-01-07,WH05,S2
2025-01-07,WH05,S3
2025-01-08,WH01,S1
2025-01-08,WH01,S2
2025-01-08,WH01,S3
2025-01-08,WH02,S1
2025-01-08,WH02,S2
2025-01-08,WH02,S3
2025-01-08,WH03,S1
2025-01-08,WH03,S2
2025-01-08,WH03,S3
2025-01-08,WH04,S1
2025-01-08,WH04,S2
2025-01-08,WH04,S3
2025-01-08,WH05,S1
2025-01-08,WH05,S2
2025-01-08,WH05,S3
2025-01-09,WH01,S1
2025-01-09,WH01,S2
2025-01-09,WH01,S3
2025-01-09,WH02,S1
2025-01-09,WH02,S2
2025-01-09,WH02,S3
2025-01-09,WH03,S1
2025-01-09,WH03,S2
2025-01-09,WH03,S3
2025-01-09,WH04,S1
2025-01-09,WH04,S2
2025-01-09,WH04,S3
2025-01-09,WH05,S1
2025-01-09,WH05,S2
2025-01-09,WH05,S3
2025-01-10,WH01,S1
2025-01-10,WH01,S2
2025-01-10,WH01,S3
2025-01-10,WH02,S1
2025-01-10,WH02,S2
2025-01-10,WH02,S3
2025-01-10,WH03,S1
2025-01-10,WH03,S2
2025-01-10,WH03,S3
2025-01-10,WH04,S1
2025-01-10,WH04,S2
2025-01-10,WH04,S3
2025-01-10,WH05,S1
2025-01-10,WH05,S2
2025-01-10,WH05,S3
2025-01-11,WH01,S1
2025-01-11,WH01,S2
2025-01-11,WH01,S3
2025-01-11,WH02,S1
2025-01-11,WH02,S2
2025-01-11,WH02,S3
2025-01-11,WH03,S1
2025-01-11,WH03,S2
2025-01-11,WH03,S3
2025-01-11,WH04,S1
2025-01-11,WH04,S2
2025-01-11,WH04,S3
2025-01-11,WH05,S1
2025-01-11,WH05,S2
2025-01-11,WH05,S3
2025-01-12,WH01,S1
2025-01-12,WH01,S2
2025-01-12,WH01,S3
2025-01-12,WH02,S1
2025-01-12,WH02,S2
2025-01-12,WH02,S3
2025-01-12,WH03,S1
2025-01-12,WH03,S2
2025-01-12,WH03,S3
2025-01-12,WH04,S1
2025-01-12,WH04,S2
2025-01-12,WH04,S3
2025-01-12,WH05,S1
2025-01-12,WH05,S2
2025-01-12,WH05,S3
2025-01-13,WH01,S1
2025-01-13,WH01,S2
2025-01-13,WH01,S3
2025-01-13,WH02,S1
2025-01-13,WH02,S2
2025-01-13,WH02,S3
2025-01-13,WH03,S1
2025-01-13,WH03,S2
2025-01-13,WH03,S3
2025-01-13,WH04,S1
2025-01-13,WH04,S2
2025-01-13,WH04,S3
2025-01-13,WH05,S1
2025-01-13,WH05,S2
2025-01-13,WH05,S3
2025-01-14,WH01,S1
2025-01-14,WH01,S2
2025-01-14,WH01,S3
2025-01-14,WH02,S1
2025-01-14,WH02,S2
2025-01-14,WH02,S3
2025-01-14,WH03,S1
2025-01-14,WH03,S2
2025-01-14,WH03,S3
2025-01-14,WH04,S1
2025-01-14,WH04,S2
2025-01-14,WH04,S3
2025-01-14,WH05,S1
2025-01-14,WH05,S2
2025-01-14,WH05,S3
2025-01-15,WH01,S1
2025-01-15,WH01,S2
2025-01-15,WH01,S3
